,document_title,question_text,yes_no_answer,short_answer1,short_answer2,short_answer3,short_answer4,short_answer5,short_answer6,short_answer7,short_answer8,short_answer9,short_answer10,short_answer11,short_answer12,short_answer13,short_answer14,short_answer15,short_answer16,short_answer17,short_answer18,short_answer19,short_answer20,short_answer21,short_answer22,short_answer23,short_answer24,short_answer25,short_answer26,short_answer27,short_answer28,short_answer29,short_answer30,short_answer31,short_answer32,short_answer33,short_answer34,short_answer35,short_answer36,short_answer37,short_answer38,short_answer39,short_answer40,short_answer41,short_answer42,short_answer43,short_answer44,short_answer45,short_answer46,short_answer47,short_answer48,short_answer49,short_answer50
0,Rice production in China,which two regions grow most of china’s rice,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",provinces along the Yangtze River and in provinces in the south,provinces along the Yangtze River,provinces in the south,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Fertile Crescent,the fertile crescent is located between what two bodies of water,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Tigris and Euphrates rivers,Tigris,Euphrates,Tigris and Euphrates rivers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,European Cup and UEFA Champions League history,who was the first british team to win the european cup,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Celtic,Celtic,Celtic,Celtic,Celtic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2017 Arizona Cardinals season,where do the arizona cardinals play this week,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,There's No Business Like Show Business,annie get your gun there's no business like show business,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,List of Rugrats episodes,how many seasons of the rugrats are there,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",9,9,9,9,9 seasons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Reconstruction Amendments,what was the result of the reconstruction amendments apex,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,United States women's national ice hockey team,when was the last time the womens hockey team won gold,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",2018,2018,2018,2018,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Twenty One Pilots,when did the twenty one pilots hiatus start,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",July 2017,July 2017,July 2017,July 2017,November 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Containment,cause and effect of the us adoption of a policy of containment,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Standard deviation,what is the meaning of one standard deviation,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Leucitite,a rock with equal modal contents of quartz plagioclase and orthoclase is known as,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Golden Door,what is the golden door in the new colossus,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Ibuprofen,when did ibuprofen become available over the counter,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",1983,1984,1984,1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,This Little Piggy,this little piggy went to the market this little piggy stayed home,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Director of the United States Mint,who is the director of the us mint,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,AOSS,where is the aoss button on the ps4,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,International Baccalaureate,what is the full form of ib board,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",International Baccalaureate,The International Baccalaureate,International Baccalaureate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1977 Convair CV-240 crash,when did lynyrd skynyrd's plane crash happen,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']","October 20 , 1977","October 20 , 1977","October 20 , 1977","October 20 , 1977","October 20 , 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cristiano Ronaldo,when did cristiano ronaldo go to manchester united,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",at age 18 in 2003,2003,2003,2003,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Salary cap,when did the nfl adopt a salary cap,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",for the 1994 season,1994,1994 season,the 1994 season,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Coat of arms of South Africa,who unveiled the new coat of arms on 27 april 2000,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",South Africa,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2017–18 Manchester City F.C. season,who has man city lost against this season,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Winnie-the-Pooh,how many winnie the pooh books are there,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",four,four,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Advance Auto Parts Clash,who gets to race in the daytona clash,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Daytona Pole Award winners,former Clash race winners,former Daytona 500 pole winners who competed full - time in 2017,drivers who qualified for the 2017 Playoffs,"drivers who were 2016 Pole Award winners , former Clash race winners , former Daytona 500 pole winners who competed full - time in 2016 , and drivers who qualified for the 2016 Chase",drivers who were Daytona Pole Award winners,former Clash race winners,former Daytona 500 pole winners who competed full - time in 2017,drivers who qualified for the 2017 Playoffs,drivers who were Daytona Pole Award winners,former Clash race winners,former Daytona 500 pole winners who competed full - time in 2017,drivers who qualified for the 2017 Playoffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Woolly mammoth,what kind of food did the woolly mammoth eat,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']","plant food , mainly grass and sedges , which were supplemented with herbaceous plants , flowering plants , shrubs , mosses , and tree matter",grass and sedges,"plant food , mainly grass and sedges , which were supplemented with herbaceous plants , flowering plants , shrubs , mosses , and tree matter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Hastings Insurance,what is the difference between hastings essential and hastings direct,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Who Do You Think You Are? (U.S. TV series),who do you think you are season 7 episode 2,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Battle of San Juan Hill,what was the outcome of the battle of san juan hill,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Cuban - American victory,Cuban - American victory,Cuban - American victory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Kubo and the Two Strings,when does kubo and the two strings release,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']","August 19 , 2016","August 19 , 2016","August 19 , 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Listen to Love,my wife is having an affair this week korean drama,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Hot Coffee mod,what is the hot coffee mod in san andreas,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",a normally inaccessible mini-game,a normally inaccessible mini-game,a normally inaccessible mini-game in the 2004 video game Grand Theft Auto : San Andreas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Mesoamerican writing systems,which civilizations had advanced writing and technology in present day mexico,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,The Bomb! (These Sounds Fall into My Mind),bucketheads these sounds fall into my mind lyrics,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Tom Clancy's Rainbow Six Siege,when does the dlc for rainbow six siege come out,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",January 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Centurion Card,what is annual fee for amex black card,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']","US $ 2,500 ( US $ 2,500 for each additional card member ) plus one - time joining fee of US $ 7,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Robert Bond,when was the sir robert bond bridge built,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,List of Olympic medalists in figure skating,who has the most olympic medals in figure skating,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Canadian ice dancers Tessa Virtue and Scott Moir,Canadian ice dancers Tessa Virtue and Scott Moir,Tessa Virtue,Scott Moir,Tessa Virtue,Scott Moir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Counties of Northern Ireland,map of the six counties of northern ireland,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sympathy for the Devil,who plays bongos on sympathy for the devil,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Rocky Dzidzornu -- congas,Rocky Dzidzornu,Rocky Dzidzornu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Mitosis,state the process that divides one nucleus into two genetically identical nuclei,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",mitosis,mitosis,mitosis,mitosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,PDCA,who is the originator of the plan-do-check-act model of performance improvement,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",W. Edwards Deming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Bhabi Ji Ghar Par Hai!,cast of serial bhabi ji ghar par hai,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Electrical brain stimulation,lesioning technique and electrical stimulation of the brain,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,List of national independence days,list of countries in the world by independence,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Stevia,where does stevia in the raw come from,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",the leaves of the plant species Stevia rebaudiana,South America,the leaves of the plant species Stevia rebaudiana,the plant species Stevia rebaudiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Justiciability,from where does the concept of justiciability originate for the supreme court,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Ratatouille (film),who does the voice of little chef in ratatouille,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Ian Holm,Ian Holm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,One Ring,lord of the rings what does the ring represent,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Joseph N. Welch,who said have you no sense of decency,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Joseph Nye Welch,Joseph Nye Welch,Joseph Nye Welch,Joseph Nye Welch,Joseph Nye Welch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,The Skye Boat Song,who sings the skye boat song on outlander,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Raya Yarbrough,Raya Yarbrough,Bear McCreary,Raya Yarbrough,Raya Yarbrough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,De Beers,how much of the world's diamonds does de beers own,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",33 % in 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,List of McLeod's Daughters characters,who does claire from mcleods daughters end up with,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Alex Ryan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Potentiality and actuality,what does the greek word onta mean in english,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Tarapur Atomic Power Station,which is produced in plants of narora kakrapar tarapur,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Atomic Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Bird nest,unable to build nests or care for their young,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Fender amplifier,when did fender start making amps in mexico,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",1996,1996,1996,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,List of Super Bowl records,who has the most rushing yards in a super bowl,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Timmy Smith,Timmy Smith,Timmy Smith,Timmy Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,The Presidents of the United States of America (band),the presidents of the united states of america band,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Celsius,the boiling point of water is 100 degrees celsius express this in si units,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",100 ° C,100 ° C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Welfare definition of economics,economics is a study of mankind in the ordinary business of life,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,A (Pretty Little Liars),when is the first a revealed in pretty little liars,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",During Hanna 's recovery masquerade celebration,During Hanna 's recovery masquerade celebration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sputnik crisis,what did the us do after soviets launched sputnik,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,John Cooper Clarke,known as the punk poet who used poetry in their music,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",John Cooper Clarke,John Cooper Clarke,John Cooper Clarke,John Cooper Clarke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Roxette,who sang it must have been love but its over now,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Roxette,Roxette,Roxette,Roxette,Roxette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Extinction,the disappearance of forest elephants would have an adverse effect on which type of plants,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Fibula,where is the tibia and fibula bone located,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",leg,leg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Judiciary of Scotland,the name given to a judge in scotland,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,He Thinks He'll Keep Her,who sings he thinks he'll keep her,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",American country music artist Mary Chapin Carpenter,Mary Chapin Carpenter,Mary Chapin Carpenter,American country music artist Mary Chapin Carpenter,Mary Chapin Carpenter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Dust Bowl,what states were most affected by the dust bowl,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Texas,Oklahoma,New Mexico,Colorado,Kansas,Oklahoma,Arkansas,Missouri,Iowa,Nebraska,Kansas,Texas,Colorado,New Mexico,Texas,Oklahoma,Kansas,Oklahoma,Texas,Oklahoma,New Mexico,Colorado,Kansas,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Bachelor of Liberal Studies,what is a bachelor's degree in liberal studies,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbonic acid,give the formula for the following substance carbonic acid,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",H CO ( equivalently OC ( OH ) ),H CO ( equivalently OC ( OH ) ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Super Bowl XXXIX,when did the eagles play in the superbowl,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']","February 6 , 2005","February 6 , 2005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Walk the Line,who starred in the film walk the line,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Joaquin Phoenix,Reese Witherspoon,Ginnifer Goodwin,Robert Patrick,Dallas Roberts,Joaquin Phoenix,Reese Witherspoon,Ginnifer Goodwin,Robert Patrick,Dallas Roberts,"Joaquin Phoenix as Cash , Reese Witherspoon as Carter , Ginnifer Goodwin as Vivian Liberto , and Robert Patrick as Cash 's father",Joaquin Phoenix,Reese Witherspoon,Ginnifer Goodwin,Robert Patrick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,President of the Republic of Texas,of the following who never served as president of the republic of texas,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Table of contents,where is the table of contents found in a book,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']","usually appears after the title page , copyright notices , and , in technical journals , the abstract ; and before any lists of tables or figures , the foreword , and the preface",usually found on a page before the start of a written work,usually found on a page before the start of a written work,usually found on a page before the start of a written work,"on a page before the start of a written work , of its chapter or section titles or brief descriptions with their commencing page numbers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Statute of frauds,under the statute of frauds express easements must be in writing,"['NONE', 'NONE', 'NONE', 'YES', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Joseph Kearns,who plays mr wilson in dennis the menace,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Joseph Sherrard Kearns,Joseph Sherrard Kearns,Joseph Sherrard Kearns,Joseph Sherrard Kearns,Joseph Sherrard Kearns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Junior doctor,when do you stop being a junior doctor,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']","it culminates in a post as a Consultant , a General Practitioner ( GP ) , or some other non-training post , such as a Staff grade or Associate Specialist post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,History of South America,south america became a collection of independent states between,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",the first quarter of the 19th century,in the first quarter of the 19th century,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Trump Tower,who lives on 50th floor of trump tower,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Breakup of Yugoslavia,bosnia and herzegovina croatia macedonia and slovenia all used to be parts of,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Yugoslavia,Yugoslavia,Yugoslavia,Yugoslavia,Yugoslavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,History of democracy,where did the idea of democracy come from,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",in ancient Athens circa 508 B.C.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Classical order,doric ionic and corinthian orders all refer to types of,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']","styles of classical architecture , each distinguished by its proportions and characteristic profiles and details , and most readily recognizable by the type of column employed",architecture,architecture,architecture,architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Super Bowl XXXIX,when was the last year the eagles went to the superbowl,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",following the 2017 season,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Brendan Gleeson,who plays mad eye moody in the harry potter movies,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,George Barnes (musician),who made the first to record with the electric guitar,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",George Warren Barnes,George Warren Barnes,George Warren Barnes,George Warren Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Age of candidacy,how old do you have to be to be a politician,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,South Korean won,what is the money called in south korea,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",won,The won,won,The won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Poverty alleviation programmes in India,discuss the measures undertaken for poverty alleviation in india,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,List of Stanley Cup champions,who won three stanley cups in a row,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Toronto Maple Leafs,Montreal Canadiens,New York Islanders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Ride-along,can i do a ride along with a police officer,"['NONE', 'NONE', 'NONE', 'NONE', 'YES']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Call of Duty: WWII,how many campaign mission in call of duty ww2,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Love & Basketball,who played young monica in love and basketball,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Kyla Pratt,Kyla Pratt,Kyla Pratt,Kyla Pratt,Kyla Pratt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,World Wide Web,the internet is part of the world wide web,"['NONE', 'NONE', 'NONE', 'NO', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Wizards of Waverly Place (soundtrack),who sings the wizards of waverly place theme song,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Selena Gomez,Selena Gomez,Selena Gomez,Selena Gomez,Selena Gomez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Star formation,where do most star formation occur in the milky way today,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",molecular clouds in interstellar space,"Higher density regions of the interstellar medium form clouds , or diffuse nebulae",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,The Man Who Invented Christmas (film),anna murphy actress the man who invented christmas,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Tara / Ghost of Christmas Past,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Eighth Amendment to the United States Constitution,how does the eighth amendment protect people found guilty of crimes,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']","prohibits the federal government from imposing excessive bail , excessive fines , or cruel and unusual punishment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,List of Miraculous: Tales of Ladybug & Cat Noir episodes,when is episode 12 of miraculous ladybug season 2 coming out,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",30 March 2018,30 March 2018,30 March 2018,30 March 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Academy Award for Best Original Score,who won the academy award for best original musical score,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Alexandre Desplat,The Shape of Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Natural and legal rights,whose new political ideas of natural rights influenced the declaration of independence,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",John Locke,John Locke,Francis Hutcheson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Nursing and Midwifery Council,who are the nmc and what do they do,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,The Young and the Restless cast members,show me the cast of the young and the restless,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
