,document_title,question_text,yes_no_answer,short_answer1,short_answer2,short_answer3,short_answer4,short_answer5,short_answer6,short_answer7,short_answer8,short_answer9,short_answer10,short_answer11,short_answer12,short_answer13,short_answer14,short_answer15,short_answer16,short_answer17,short_answer18,short_answer19,short_answer20,short_answer21,short_answer22,short_answer23,short_answer24,short_answer25,short_answer26,short_answer27,short_answer28,short_answer29,short_answer30
0,Total Drama,what is the third season of total drama,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Total Drama World Tour,World Tour,Total Drama World Tour,Total Drama World Tour,World Tour,,,,,,,,,,,,,,,,,,,,,,,,,
0,South Korea at the Olympics,how many times has south korea held the winter olympics,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",two,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,The Lincoln Lawyer (film),what happens at the end of lincoln lawyer,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Panzer VIII Maus,what was the biggest tank in world war 2,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Panzerkampfwagen VIII Maus,Panzerkampfwagen VIII Maus ( `` Mouse '' ),Panzerkampfwagen VIII Maus ( `` Mouse '' ),Panzerkampfwagen VIII Maus,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Bank of America,where does bank of america invest its money,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Can't Change Me,chris cornell she's going to change the world,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Ca n't Change Me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,List of tallest buildings in Las Vegas,how tall is the tallest building in las vegas,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",The Drew Las Vegas,735 feet ( 224 m ),"1,149 feet",642 feet ( 196 m ),735 feet ( 224 m ),,,,,,,,,,,,,,,,,,,,,,,,,
0,List of rotorcraft used in World War II,did they use helicopters in world war 2,"['YES', 'YES', 'YES', 'YES', 'YES']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,List of Olympic medalists in figure skating,who won the ladies ice skating in the olympics,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Alina Zagitova,Alina Zagitova,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Dome of the Rock,when was the dome of the rock completed,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",691 CE,in 691 CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,List of highest mountains of Tasmania,abbreviated name of the highest peak in tasmania,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Mount Ossa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,List of DreamWorks Dragons episodes,dragons race to the edge season 5 episode 14 defenders of the wing part 2,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Concrete and Gold Tour,who's opening for foo fighters at fenway,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",N / A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Yakety Yak,who wrote yakkity yak don't talk back,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Jerry Leiber and Mike Stoller,Jerry Leiber,Mike Stoller,Jerry Leiber,Mike Stoller,Jerry Leiber,Mike Stoller,Jerry Leiber,Mike Stoller,,,,,,,,,,,,,,,,,,,,,
0,Nova Scotia Duck Tolling Retriever,nova scotia duck tolling retriever colors red golden,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,History of the Bahamas,who explored waters of cuba the bahamas and hispaniola,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Christopher Columbus,Christopher Columbus,Christopher Columbus,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Climate of Egypt,what was the climate like in ancient egypt,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Republic of Ireland,why is southern ireland not part of the united kingdom,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Jenny Humphrey,when does jenny come back to gossip girl,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",the final episode of the series,the final episode of the series,in the five - year time jump for her brother 's wedding to Serena van der Woodsen,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Elizabeth Patterson (actress),who played mrs. trumbull on i love lucy,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Mary Elizabeth Patterson,Mary Elizabeth Patterson,Mary Elizabeth Patterson,Mary Elizabeth Patterson,Mary Elizabeth Patterson,,,,,,,,,,,,,,,,,,,,,,,,,
0,Slaughter-House Cases,where did the butchers in the slaughterhouse cases live,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",New Orleans,New Orleans,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Peripheral nervous system,explain the function of the peripheral nervous system,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']","to connect the CNS to the limbs and organs , essentially serving as a relay between the brain and spinal cord and the rest of the body",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,There's a Riot Going On,yo la tengo theres a riot going on release date,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']","March 16 , 2018","March 16 , 2018","March 16 , 2018","March 16 , 2018","March 16 , 2018",,,,,,,,,,,,,,,,,,,,,,,,,
0,Colonia del Sacramento,the bay and the islands of colonia del sacramento,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Unitary state,where is a unitary system of government found,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,List of Marvel Cinematic Universe television series,what is the order of the netflix marvel shows,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Marvel 's Daredevil,Marvel 's Jessica Jones,Marvel 's Luke Cage,Marvel 's Iron Fist,Marvel 's The Defenders,Marvel 's The Punisher,,,,,,,,,,,,,,,,,,,,,,,,
0,Pattern hair loss,where do you get male pattern baldness from,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",a combination of genetics and the male hormone dihydrotestosterone,a combination of genetics and the male hormone dihydrotestosterone,combination of genetics and the male hormone dihydrotestosterone,a combination of genetics and the male hormone dihydrotestosterone,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rock music,a type of basic rock popular in the 1980s,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",alternative rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Jenifer Lewis,who played mama odie in princess and the frog,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Philosophical zombie,zombies are a particular challenge for which of the following theories of mind,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Claims adjuster,who represents the insured in the investigation of a claim,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Claims adjuster,Public adjusters,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,So... How's Your Girl?,handsome boy modeling school so how's your girl full album,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Qing dynasty,where did the rulers of the qing dynasty originate,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Manchuria,Manchuria,Jurchen Aisin Gioro clan in Manchuria,Manchuria,Manchuria,,,,,,,,,,,,,,,,,,,,,,,,,
0,Empiricism,what word is used to describe knowledge about the universe and method of obtaining that knowledge,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",epistemology,Empiricism,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,List of people considered father or mother of a scientific field,who is considered the father of modern cosmology,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Edwin Hubble,Edwin Hubble,Edwin Hubble,Edwin Hubble,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Central India,which state is located in the centre of india,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Chhattisgarh,Madhya Pradesh,Chhattisgarh,Madhya Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,
0,IEEE 802.11,what is wifi b/g/n,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,The Catcher in the Rye,what does the end of catcher in the rye mean,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Bottom bracket,difference between press fit and threaded bottom bracket,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,List of winners of the New York City Marathon,when was the last time an american won the new york marathon,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",2017,2009,2017,2017,2009,,,,,,,,,,,,,,,,,,,,,,,,,
0,Atlantic Charter,who were the parties to the atlantic charter in 1941 what were their eight common principles,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Scythe,what is the name of the weapon the grim reaper carries,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",scythe,scythe,scythe,scythe,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2014 FIFA World Cup statistics,who was the top scorer in 2014 world cup,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",James Rodríguez,James Rodríguez,James Rodríguez,James Rodríguez,James Rodríguez,,,,,,,,,,,,,,,,,,,,,,,,,
0,Location shooting,where do actors stay when filming on location,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Praise, My Soul, the King of Heaven",praise my soul the king of heaven lyrics praise him praise him,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Logarithm,what does taking the log of something do,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Captain Phasma,who plays captain phasma in star wars the force awakens,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Gwendoline Christie,Gwendoline Christie,Gwendoline Christie,Gwendoline Christie,Gwendoline Christie,,,,,,,,,,,,,,,,,,,,,,,,,
0,Brown v. Board of Education,when did the brown vs board of education start and end,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,So You Think You Can Dance: The Next Generation (U.S. TV series),who won so you think you can dance season 13,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Kida,Leon `` Kida '' Burns,Leon `` Kida '' Burns,Kida,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Overshoot (population),when does a dieback or population crash occur,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",when a population temporarily exceeds the long term carrying capacity of its environment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,When a Man Loves a Woman (song),who wrote when a man loves a woman,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Calvin Lewis and Andrew Wright,Percy Sledge,Calvin Lewis,Andrew Wright,Calvin Lewis,Andrew Wright,Calvin Lewis,Andrew Wright,,,,,,,,,,,,,,,,,,,,,,
0,Salisbury steak,what's the difference between salisbury steak and hamburger steak,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",ingredients,ingredients,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Meninges,what are the 3 layers of the meninges,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",dura mater,arachnoid mater,pia mater,dura mater,arachnoid mater,pia mater,dura mater,the arachnoid mater,the pia mater,dura mater,arachnoid mater,pia mater,dura mater,arachnoid mater,pia mater,,,,,,,,,,,,,,,
0,Cell-mediated immunity,select statements that apply to b cell maturation,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Brownie points,where does the saying brownie points come from,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Give U My Heart,toni braxton ft babyface give you my heart,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lauryn Hill,lauren hill there for me there for me,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Puss in Boots (2011 film),who did puss in boots grew up with,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Humpty Alexander Dumpty,Humpty Dumpty,Kitty Softpaws,"Humpty Alexander Dumpty , a talking egg","Humpty Alexander Dumpty , a talking egg",Humpty Alexander Dumpty,,,,,,,,,,,,,,,,,,,,,,,,
0,Nuclear power,when was the first nuclear power plant opened,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']","On June 27 , 1954",the USSR,"December 2 , 1942","December 20 , 1951","June 27 , 1954",,,,,,,,,,,,,,,,,,,,,,,,,
0,Fundamental rights in India,fundamental rights are enshrined in the constitution of india through which of the following article,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,List of Drama Stage episodes,chief b and the love letter ep 1,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Grace Zabriskie,actress who played susan's mother on seinfeld,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Flag of Mexico,what do the colors and symbols on the mexican flag represent,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Waters (name),where does the last name waters come from,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Wales and Yorkshire,"`` Wat '' , or `` Wa'ter '' , an old pronunciation of Gaultier or Walter",the surname Watson ( `` Wat 's son '' ),Wales,Yorkshire,Wales,Yorkshire,,,,,,,,,,,,,,,,,,,,,,,
0,Gunfighter Ballads and Trail Songs,marty robbins gunfighter ballads and trail songs / more gunfighter ballads songs,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Coahuila y Tejas,under the constitution of coahuila y tejas the governor,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sweden during World War II,how does sweden view its role during war-time,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",long - standing policy of neutrality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Daylight saving time in the United States,what states do not allow daylight savings time,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Arizona,Navajo,"Arizona ( except for the Navajo , who do observe daylight saving time on tribal lands )",Hawaii,Arizona,Hawaii,,,,,,,,,,,,,,,,,,,,,,,,
0,Judiciary of New York (state),in new york the supreme court ranks below the court of appeals,"['NONE', 'NONE', 'YES', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Spies Like Us,where was the movie spies like us filmed,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,List of sovereign states,list of all the countries in the world wikipedia,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Where Are Ü Now,when did where are you now come out,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']","February 27 , 2015","February 27 , 2015","February 27 , 2015","February 27 , 2015","February 27 , 2015",,,,,,,,,,,,,,,,,,,,,,,,,
0,Dragon Ball Z,when did dragon ball z air in australia,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Fall 1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"New York, I Love You XOXO",who ends up together in the end of gossip girl,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Printmaking,how does printmaking differ from other forms of art,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Folk arts of Karnataka,mention the names of any 3 famous folklore sports in karnataka state,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,List of Passport Offices in India,list of passport seva kendra in andhra pradesh,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,List of Game of Thrones characters,game of thrones queen of the north actress,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Subdural hematoma,which type of hematoma is a result of torn bridging meningeal veins,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",subdural hematoma ( SDH ),A subdural hematoma ( SDH ),A subdural hematoma,subdural hematoma,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Baba (name),what is the meaning of the name baba,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,State of the Union,who sits in front of president during state of the union,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Patient Self-Determination Act,the patient self-determination act of 1990 states that advance directives,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,The Goal (novel),critique the goal as an operations management text and as a teaching tool for the workplace,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Bobby's Girl (song),who sang i want to be bobbys girl,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Marcie Blane,Marcie Blane,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Three-point field goal,when did the nba add the three point line,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",1979 -- 80 season,1979 -- 80,the 1979 -- 80 season,1979 -- 80 season,In the 1979 -- 80 season,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cone cell,where are the cones in the eye located,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",in the retina,in the fovea centralis,in the retina,"in the fovea centralis , a 0.3 mm diameter rod - free area",the retina,,,,,,,,,,,,,,,,,,,,,,,,,
0,Puerto Rico Electric Power Authority,where does puerto rico's power come from,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Puerto Rico Electric Power Authority ( PREPA ),Puerto Rico Electric Power Authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Olive Garden,where did the name olive garden come from,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Half-mast,when should flags be flown at half staff,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Uranus,seasonal variations over a full uranian year at a particular point on uranus would,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Gut flora,what is the role of the gut flora,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']","by fermenting dietary fiber into short - chain fatty acids ( SCFAs ) , such as acetic acid and butyric acid , which are then absorbed by the host","synthesizing vitamin B and vitamin K as well as metabolizing bile acids , sterols , and xenobiotics",to function like an endocrine organ,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Bacon's Rebellion,what were the some of the causes for bacon's rebellion,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']","The colony 's dismissive policy as it related to the political challenges of its western frontier , along with other challenges including leaving Bacon out of his inner circle , refusing to allow Bacon to be a part of his fur trade with the Indians , and Doeg American Indian attacks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Great Tang Records on the Western Regions,great tang dynasty record of the western regions,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",a narrative of Xuanzang 's nineteen - year journey from Chang'an in central China to the Western Regions of Chinese historiography,a narrative of Xuanzang 's nineteen - year journey from Chang'an in central China to the Western Regions of Chinese historiography,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Seven gifts of the Holy Spirit,name and define the seven gifts of the holy spirit,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,El Pollo Loco,who is the founder of el pollo loco,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Juan Francisco Ochoa,Juan Francisco Ochoa,Juan Francisco Ochoa,Juan Francisco Ochoa,Juan Francisco Ochoa,,,,,,,,,,,,,,,,,,,,,,,,,
0,Chuck steak,where does a chuck eye steak come from,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Vikings (season 5),when does the second half of vikings season 5 air,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",in 2018,2018,2018,in 2018,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Connective tissue,where is connective tissue found in the body,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",between other tissues everywhere in the body,"in between other tissues everywhere in the body , including the nervous system",between other tissues everywhere in the body,"in between other tissues everywhere in the body , including the nervous system","in between other tissues everywhere in the body , including the nervous system",,,,,,,,,,,,,,,,,,,,,,,,,
0,Crisis of the Late Middle Ages,why was the great schism important in the decline of medieval europe,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Pineapple,where do pineapples come from in the world,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']","Costa Rica , Brazil , and the Philippines",Costa Rica,Brazil,Philippines,Thailand,India,Indonesia,Costa Rica,Brazil,the Philippines,,,,,,,,,,,,,,,,,,,,
0,April Fools' Day,when does april fools day end at noon,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",April 1st,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Thank You for Your Service (2017 film),where is thank you for your service based,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']","Fort Riley , Kansas","Fort Riley , Kansas",Kansas,"the vicinity of Fort Riley , Kansas","Fort Riley , Kansas",,,,,,,,,,,,,,,,,,,,,,,,,
0,Action Jackson (2014 film),new movie of ajay devgan and sonakshi sinha,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Action Jackson,Action Jackson,Action Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sun,what stage of the star life cycle is the sun in,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",about halfway through its main - sequence stage,about halfway through its main - sequence stage,about halfway through its main - sequence stage,roughly halfway through the most stable part of its life,,,,,,,,,,,,,,,,,,,,,,,,,,
0,On My Block (TV series),who plays cesar in the show on my block,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Diego Tinoco,Diego Tinoco,Diego Tinoco,Diego Tinoco,Diego Tinoco,,,,,,,,,,,,,,,,,,,,,,,,,
0,List of National Basketball Association career 3-point scoring leaders,what nba player has scored the most 3 pointers,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Ray Allen,Ray Allen,Ray Allen,Ray Allen,Ray Allen,,,,,,,,,,,,,,,,,,,,,,,,,
0,Passive transport,which of these is best description of passive transport,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Umbrella,what was the ancient chinese umbrella used for,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",often linked to high - ranking ( though not necessarily royalty ) in China,a defense against rain,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Statue of Liberty,when was the statue of liberty in france built,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Winter Olympic Games,how many times have the winter olympics been in the usa since 1924,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",four,four,1932,1960,1980,2002,four,four times,,,,,,,,,,,,,,,,,,,,,,
0,I'll Sleep When I'm Dead,who sings i'll sleep when i'm dead,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Warren Zevon,Bon Jovi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,City and Guilds of London Institute,what level is a city and guilds qualification,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",entry level to level 7,entry level to level 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Hooked on a Feeling,who sings the song hooked on a feeling,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2018 Winter Olympics medal table,who won the medals in 2018 winter olympics,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Crowne Plaza,who owns the crown plaza hotel in chicago illinois,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",InterContinental Hotels Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Ice hockey at the 2018 Winter Olympics,when does mens hockey start in the olympics,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rock Band (video game),who was the first rock band to have a video game made featuring their music and images,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Intermountain West,where is the intermountain region located on a map,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",between the front ranges of the Rocky Mountains on the east and the Cascade Range and Sierra Nevada on the west,between the front ranges of the Rocky Mountains on the east and the Cascade Range and Sierra Nevada on the west,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,The Second Coming (poem),what rough beast its hour come at last slouches towards bethlehem to be born,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,A Doll's House,what is the setting of a dolls house,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",a Norwegian town circa 1879,a Norwegian town circa 1879,a Norwegian town,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Supreme Court of India,how are the chief justice and other judges of the supreme court appointed,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Diana Rigg,who plays the grandmother in game of thrones,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Rigg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,NBA regular season records,what's the nba record for most points in a half,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",59,"59 by Wilt Chamberlain , Philadelphia Warriors",59,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,The Ten Commandments (1956 film),who played the king in the ten commandments,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Woodrow Strode,Yul Brynner,Woodrow Strode,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Team sport,a game with two teams of 11 members,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Fireworks,who buys the most fireworks in the world,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
